generation,best_score,avg_score,diversity
471,9860.1437,1929.7873,86.22
472,9860.1437,1924.8585,86.22
473,9860.1437,1918.2582,86.22
474,9860.1437,1914.3503,86.22
475,9860.1437,1914.8055,86.22
476,9860.1437,1885.9561,86.22
477,9860.1437,1887.6393,86.22
478,9860.1437,1858.9276,86.22
479,9860.1437,1853.9412,86.22
480,9860.1437,1825.4461,86.22
481,9860.1437,1820.5271,86.22
482,9860.1437,1821.0053,86.22
483,9860.1437,1815.9185,86.22
484,9860.1437,1816.1472,86.22
485,9860.1437,1816.1488,86.22
486,9860.1437,1816.6303,86.22
487,9860.1437,1813.0480,86.22
488,9860.1437,1808.2112,86.22
489,9860.1437,1808.5370,86.22
490,9860.1437,1809.6281,86.22
491,9860.1437,1805.3616,86.22
492,9860.1437,1800.5659,86.22
493,9860.1437,1796.9950,86.22
494,9860.1437,1797.3184,86.22
495,9860.1437,1793.7123,86.22
496,9860.1437,1789.9166,86.22
497,9860.1437,1785.2019,86.22
498,9860.1437,1781.4438,86.22
499,9860.1437,1782.1275,86.22
500,9860.1437,1776.1522,86.22
500,9860.1437,1776.1522,86.22
501,9860.1437,1776.2453,86.22
502,9860.1437,1748.8586,86.22
503,9860.1437,1744.2846,86.22
504,9860.1437,1717.1010,86.22
505,9860.1437,1712.9109,86.22
506,9860.1437,1708.5417,86.22
507,9860.1437,1704.4161,86.22
508,9860.1437,1699.8067,86.22
509,9860.1437,1673.0360,86.22
510,9860.1437,1669.2373,86.22
511,9860.1437,1681.7551,86.22
512,9860.1437,1676.1573,86.22
513,9860.1437,1677.3739,86.22
514,9860.1437,1674.0386,86.22
515,9860.1437,1647.6268,86.22
516,9860.1437,1621.3341,86.22
517,9860.1938,1627.4191,86.22
518,9860.1938,1622.0778,86.22
519,9860.1938,1619.0236,86.22
520,9860.1938,1592.9720,86.22
521,9860.1938,1593.2780,86.22
522,9860.1938,1609.3363,86.22
523,9860.1938,1583.4226,86.22
524,9860.1938,1584.9743,86.22
525,9860.1938,1588.7412,86.22
526,9860.1938,1562.9333,86.22
527,9860.1938,1560.4073,86.22
528,9860.1938,1556.7565,86.22
529,9860.1938,1531.1907,86.22
530,9860.1938,1532.2821,86.22
531,9860.1938,1527.2222,86.22
532,9860.1938,1524.4414,86.22
533,9860.1938,1521.7207,86.22
534,9860.1938,1521.7373,86.22
535,9860.1938,1517.8037,86.22
536,9860.1938,1513.9940,86.22
537,9860.1938,1517.1748,86.22
538,9860.1938,1514.3130,86.22
539,9860.1938,1514.3152,86.22
540,9860.1938,1510.5297,86.22
541,9860.1938,1506.6535,86.22
542,9860.1938,1507.9447,86.22
543,9860.1938,1520.1885,86.22
544,9860.1938,1495.3069,86.22
545,9860.1938,1496.8246,86.22
546,9860.1938,1494.1491,86.22
547,9860.1938,1490.4514,86.22
548,9860.1938,1487.0682,86.22
549,9860.1938,1484.7711,86.22
