generation,best_score,avg_score,diversity
281,2868.7663,-447.8192,72.87
282,2868.7663,-447.4238,72.87
283,2868.7663,-437.1355,72.87
284,2868.7663,-436.4791,72.87
285,2868.7663,-435.9101,72.87
286,2868.7663,-434.0171,72.87
287,2868.7663,-433.9926,72.87
288,2868.7663,-433.2926,72.87
289,2868.7663,-430.0783,72.87
290,2868.7663,-428.9797,72.87
291,2868.7663,-427.8889,72.87
292,2868.7663,-423.9035,72.87
293,2868.7663,-417.4991,72.87
294,2868.7663,-411.1938,72.87
295,2868.7663,-408.5621,72.87
296,2868.7663,-407.0512,72.87
297,2868.7663,-404.4288,72.87
298,2868.7663,-405.9920,72.87
299,2868.7663,-405.0363,72.87
300,2868.7663,-405.0275,72.87
300,2868.7663,-405.0275,72.87
301,2868.7663,-399.7124,72.87
302,2868.7663,-389.0285,72.87
303,2868.7663,-381.7390,72.87
304,2868.7663,-381.7381,72.87
305,2868.7663,-381.6818,72.87
306,2868.7663,-375.1349,72.87
307,2868.7663,-377.1042,72.87
308,2868.7663,-417.3673,72.87
309,2868.7663,-417.1557,72.87
310,2868.7663,-416.2546,72.87
311,2868.7663,-415.3942,72.87
312,2868.7663,-408.8711,72.87
313,2868.7663,-398.7904,72.87
314,2868.7663,-391.9240,72.87
315,2868.7663,-391.5221,72.87
316,2868.7663,-390.2051,72.87
317,2868.7663,-385.5549,72.87
318,2868.7663,-424.7975,72.87
319,2868.7663,-418.5387,72.87
320,2868.7663,-416.6551,72.87
321,2868.7663,-416.3560,72.87
322,2868.7663,-415.5773,72.87
323,2868.7663,-407.0587,72.87
324,2868.7663,-406.4089,72.87
325,2868.7663,-403.6239,72.87
326,2868.7663,-397.4997,72.87
327,2868.7663,-389.7687,72.87
328,2868.7663,-389.1104,72.87
329,2868.7663,-389.1104,72.87
330,2868.7663,-380.6851,72.87
331,2868.7663,-379.9112,72.87
332,2868.7663,-379.5545,72.87
333,2868.7663,-379.5527,72.87
