generation,best_score,avg_score,diversity
396,1412.2562,87.5156,38.00
397,1412.2562,85.3774,38.00
398,1412.2562,88.7451,38.00
399,1412.2562,88.9919,38.00
400,1412.2562,88.5486,38.00
400,1412.2562,88.5486,38.00
401,1412.2562,91.8913,38.00
402,1412.2562,91.4429,38.00
403,1412.2562,90.7525,38.00
404,1412.2562,90.3093,38.00
405,1412.2562,89.8682,55.70
406,1412.2562,89.4294,55.70
407,1412.2562,90.2672,55.70
408,1412.2562,89.8296,55.70
409,1412.2562,89.3941,55.70
410,1412.2562,91.2058,55.70
411,1412.2562,94.4596,55.70
412,1412.2562,95.2748,55.70
413,1412.2562,94.8302,55.70
414,1412.2562,94.3878,55.70
415,1412.2562,93.9476,55.70
416,1412.2562,94.7561,55.70
417,1412.2562,94.3171,55.70
418,1412.2562,93.8802,55.70
419,1412.2562,93.4455,55.70
420,1412.2562,93.0128,55.70
421,1412.2562,93.8139,55.70
422,1412.2562,94.6110,55.70
423,1412.2562,92.6344,55.70
424,1412.2562,93.4306,55.70
425,1412.2562,94.2230,55.70
426,1412.2562,94.6538,55.70
427,1412.2562,97.7761,55.70
428,1412.2562,100.8836,55.70
429,1412.2562,101.6510,55.70
430,1412.2562,104.7347,55.70
431,1412.2562,107.8040,55.70
432,1412.2562,108.5498,55.70
433,1412.2562,109.2921,55.70
434,1412.2562,112.3293,55.70
435,1412.2562,111.8678,55.70
436,1412.2562,114.8849,55.70
437,1412.2562,114.1946,55.70
438,1412.2562,113.7320,55.70
439,1412.2562,114.3750,55.70
440,1412.2562,116.6469,55.70
441,1412.2562,119.6253,55.70
442,1412.2562,119.1535,55.70
443,1412.2562,122.1125,55.70
444,1412.2562,121.6371,55.70
445,1412.2562,122.3310,55.70
446,1412.2562,123.0212,55.70
447,1412.2562,122.5470,55.70
448,1412.2562,125.4649,55.70
449,1412.2562,128.3696,55.70
450,1412.2562,127.8866,55.70
451,1412.2562,127.4057,55.70
452,1412.2562,128.0757,55.70
453,1412.2562,128.7423,55.70
454,1412.2562,131.6073,55.70
455,1412.2562,134.4595,55.70
456,1412.2562,137.2990,55.70
457,1412.2562,136.8037,55.70
458,1412.2562,136.3105,55.70
459,1412.2562,135.8195,55.70
460,1412.2562,135.3062,55.70
461,1412.2562,134.8196,55.70
462,1412.2562,134.3351,55.70
463,1412.2562,133.8527,55.70
464,1412.2562,134.4181,55.70
465,1412.2562,135.0538,55.70
466,1412.2562,137.8304,55.70
467,1412.2562,140.5948,55.70
468,1412.2562,143.3473,55.70
469,1412.2562,146.0880,55.70
470,1412.2562,145.5876,55.70
471,1412.2562,145.0893,55.70
472,1412.2562,144.5932,55.70
473,1412.2562,145.1963,55.70
474,1412.2562,144.7020,55.70
475,1412.2562,145.2309,55.70
476,1412.2562,145.3023,55.70
477,1412.2562,144.8099,55.70
478,1412.2562,146.9079,55.70
479,1412.2562,149.0058,55.70
480,1412.2562,149.5233,55.70
481,1412.2562,150.1096,55.70
482,1412.2562,150.5274,55.70
483,1412.2562,150.5986,55.70
484,1412.2562,150.0992,55.70
485,1412.2562,150.6805,55.70
486,1412.2562,153.3309,55.70
487,1412.2562,155.9702,55.70
488,1412.2562,158.1075,55.70
489,1412.2562,159.4987,55.70
490,1412.2562,162.1141,55.70
491,1412.2562,161.5969,55.70
492,1412.2562,164.1971,55.70
493,1412.2562,166.7864,55.70
494,1412.2562,167.3236,55.70
495,1412.2562,166.7999,55.70
496,1412.2562,169.3679,55.70
497,1412.2562,171.9253,55.70
498,1412.2562,174.4722,55.70
499,1412.2562,173.9382,55.70
500,1412.2562,172.0430,55.70
500,1412.2562,172.0430,55.70
501,1412.2562,174.5741,55.70
502,1412.2562,174.0432,55.70
503,1412.2562,174.5558,55.70
504,1412.2562,175.0663,55.70
505,1412.2562,173.1304,55.70
506,1412.2562,172.6067,55.70
507,1412.2562,172.0851,55.70
508,1412.2562,171.5656,55.70
509,1412.2562,173.5495,55.70
510,1412.2562,171.6894,55.70
511,1412.2562,174.1755,55.70
512,1412.2562,174.6797,55.70
513,1412.2562,174.1591,55.70
514,1412.2562,173.6407,55.70
515,1412.2562,173.1243,55.70
516,1412.2562,175.0846,55.70
517,1412.2562,177.5393,55.70
518,1412.2562,179.9842,55.70
519,1412.2562,180.4709,55.70
520,1412.2562,179.9451,55.70
521,1412.2562,180.4299,55.70
522,1412.2562,179.9063,55.70
523,1412.2562,179.3847,55.70
524,1412.2562,178.8652,55.70
525,1412.2562,178.3476,55.70
526,1412.2562,180.7529,55.70
527,1412.2562,180.2337,55.70
528,1412.2562,179.7166,55.70
529,1412.2562,182.1052,55.70
530,1412.2562,181.5864,55.70
531,1412.2562,181.0696,55.70
532,1412.2562,180.5549,55.70
533,1412.2562,180.0420,55.70
534,1412.2562,182.4071,55.70
535,1412.2562,182.8742,55.70
536,1412.2562,185.2249,55.70
537,1412.2562,184.7071,55.70
538,1412.2562,184.1912,55.70
539,1412.2562,184.5878,55.70
540,1412.2562,186.9173,55.70
541,1412.2562,186.4002,55.70
542,1412.2562,185.8851,55.70
543,1412.2562,185.3719,55.70
544,1412.2562,185.8255,55.70
545,1412.2562,188.1308,55.70
546,1412.2562,187.6163,55.70
547,1412.2562,187.1037,59.72
548,1412.2562,189.3937,59.72
549,1412.2562,188.8797,59.72
550,1412.2562,188.3676,59.72
551,1412.2562,187.8575,59.72
552,1412.2562,187.3492,59.72
553,1412.2562,185.6449,59.72
554,1412.2562,185.1426,59.72
555,1412.2562,187.4066,59.72
556,1412.2562,189.6623,59.72
557,1412.2562,190.0972,59.72
558,1412.2562,189.5904,59.72
559,1412.2562,189.0855,59.72
560,1412.2562,191.3216,59.72
561,1412.2562,193.5496,59.72
562,1412.2562,195.7695,59.72
563,1412.2562,197.9812,59.72
564,1412.2562,200.1850,59.72
565,1412.2562,199.6664,59.72
566,1412.2562,200.0761,59.72
567,1412.2562,199.3840,59.72
568,1412.2562,198.8696,59.72
569,1412.2562,198.3571,59.72
570,1412.2562,198.7662,59.72
571,1412.2562,199.1739,59.72
572,1412.2562,199.5801,59.72
573,1412.2562,199.0699,59.72
574,1412.2562,199.4748,59.72
575,1412.2562,198.9667,59.72
576,1412.2562,198.4603,59.72
577,1412.2562,197.9558,59.72
578,1412.2562,197.4333,59.72
579,1412.2562,196.9324,59.72
580,1412.2562,196.4332,59.72
581,1412.2562,195.9358,59.72
582,1412.2562,198.0734,59.72
583,1412.2562,200.2036,59.72
584,1412.2562,199.7021,59.72
585,1412.2562,201.8220,59.72
586,1412.2562,202.2136,59.72
587,1412.2562,204.3217,59.72
588,1412.2562,204.7077,59.72
589,1412.2562,204.2028,59.72
590,1412.2562,204.5296,59.72
591,1412.2562,204.9132,59.72
592,1412.2562,204.4105,59.72
593,1412.2562,204.7930,59.72
594,1412.2562,205.1741,59.72
595,1412.2562,204.6737,59.72
596,1412.2562,204.1749,59.72
597,1412.2562,206.2435,59.72
598,1412.2562,208.3051,59.72
599,1412.2562,207.8027,59.72
600,1412.2562,207.3020,59.72
600,1412.2562,207.3020,59.72
601,1412.2562,207.4676,59.72
602,1412.2562,207.8397,59.72
603,1412.2562,207.3406,59.72
